x (m),y (m),dy/dx,residuo_numerico,y_polinomio,diferenca_abs
1.81000000,13.81789802,-0.60907027,0.00000000,13.81792996,0.00003194
1.82000000,13.81180972,-0.60859026,0.00000000,13.81184179,0.00003208
1.83000000,13.80572622,-0.60811036,0.00000000,13.80575842,0.00003221
1.84000000,13.79964751,-0.60763055,0.00000000,13.79967985,0.00003233
1.85000000,13.79357360,-0.60715085,0.00000000,13.79360606,0.00003246
1.86000000,13.78750449,-0.60667124,0.00000000,13.78753707,0.00003258
1.87000000,13.78144018,-0.60619174,0.00000000,13.78147287,0.00003269
1.88000000,13.77538066,-0.60571234,0.00000000,13.77541347,0.00003281
1.89000000,13.76932593,-0.60523305,0.00000000,13.76935885,0.00003292
1.90000000,13.76327600,-0.60475385,0.00000000,13.76330902,0.00003302
1.91000000,13.75723085,-0.60427476,0.00000000,13.75726398,0.00003312
1.92000000,13.75119050,-0.60379577,0.00000000,13.75122372,0.00003322
1.93000000,13.74515494,-0.60331688,0.00000000,13.74518826,0.00003332
1.94000000,13.73912416,-0.60283809,0.00000000,13.73915757,0.00003341
1.95000000,13.73309818,-0.60235940,0.00000000,13.73313167,0.00003350
1.96000000,13.72707698,-0.60188082,0.00000000,13.72711056,0.00003358
1.97000000,13.72106056,-0.60140233,0.00000000,13.72109422,0.00003366
1.98000000,13.71504893,-0.60092395,0.00000000,13.71508267,0.00003374
1.99000000,13.70904208,-0.60044567,0.00000000,13.70907590,0.00003382
2.00000000,13.70304002,-0.59996749,0.00000000,13.70307390,0.00003389
2.01000000,13.69704273,-0.59948941,0.00000000,13.69707669,0.00003396
2.02000000,13.69105023,-0.59901143,0.00000000,13.69108425,0.00003402
2.03000000,13.68506250,-0.59853355,0.00000000,13.68509659,0.00003408
2.04000000,13.67907956,-0.59805577,0.00000000,13.67911370,0.00003414
2.05000000,13.67310139,-0.59757809,0.00000000,13.67313558,0.00003420
2.06000000,13.66712799,-0.59710051,0.00000000,13.66716224,0.00003425
2.07000000,13.66115938,-0.59662303,0.00000000,13.66119368,0.00003430
2.08000000,13.65519553,-0.59614566,0.00000000,13.65522988,0.00003435
2.09000000,13.64923646,-0.59566838,0.00000000,13.64927085,0.00003439
2.10000000,13.64328216,-0.59519120,0.00000000,13.64331659,0.00003443
2.11000000,13.63733264,-0.59471413,0.00000000,13.63736710,0.00003447
2.12000000,13.63138788,-0.59423715,0.00000000,13.63142238,0.00003450
2.13000000,13.62544789,-0.59376027,0.00000000,13.62548242,0.00003453
2.14000000,13.61951268,-0.59328350,0.00000000,13.61954723,0.00003456
2.15000000,13.61358222,-0.59280682,0.00000000,13.61361681,0.00003458
2.16000000,13.60765654,-0.59233024,0.00000000,13.60769114,0.00003460
2.17000000,13.60173562,-0.59185376,0.00000000,13.60177024,0.00003462
2.18000000,13.59581946,-0.59137738,0.00000000,13.59585410,0.00003464
2.19000000,13.58990807,-0.59090111,0.00000000,13.58994272,0.00003465
2.20000000,13.58400144,-0.59042493,0.00000000,13.58403610,0.00003466
2.21000000,13.57809957,-0.58994885,0.00000000,13.57813424,0.00003467
2.22000000,13.57220246,-0.58947286,0.00000000,13.57223714,0.00003468
2.23000000,13.56631011,-0.58899698,0.00000000,13.56634479,0.00003468
2.24000000,13.56042252,-0.58852120,0.00000000,13.56045720,0.00003468
2.25000000,13.55453969,-0.58804551,0.00000000,13.55457436,0.00003467
2.26000000,13.54866161,-0.58756993,0.00000000,13.54869628,0.00003467
2.27000000,13.54278829,-0.58709444,0.00000000,13.54282295,0.00003466
2.28000000,13.53691972,-0.58661905,0.00000000,13.53695437,0.00003465
2.29000000,13.53105591,-0.58614376,0.00000000,13.53109054,0.00003463
2.30000000,13.52519685,-0.58566857,0.00000000,13.52523147,0.00003462
2.31000000,13.51934254,-0.58519348,0.00000000,13.51937714,0.00003460
2.32000000,13.51349298,-0.58471849,0.00000000,13.51352755,0.00003458
2.33000000,13.50764817,-0.58424359,0.00000000,13.50768272,0.00003455
2.34000000,13.50180811,-0.58376879,0.00000000,13.50184263,0.00003453
2.35000000,13.49597279,-0.58329409,0.00000000,13.49600729,0.00003450
2.36000000,13.49014222,-0.58281949,0.00000000,13.49017669,0.00003446
2.37000000,13.48431640,-0.58234499,0.00000000,13.48435083,0.00003443
2.38000000,13.47849532,-0.58187058,0.00000000,13.47852972,0.00003439
2.39000000,13.47267899,-0.58139628,0.00000000,13.47271334,0.00003435
2.40000000,13.46686740,-0.58092207,0.00000000,13.46690171,0.00003431
2.41000000,13.46106055,-0.58044795,0.00000000,13.46109482,0.00003427
2.42000000,13.45525844,-0.57997394,0.00000000,13.45529266,0.00003422
2.43000000,13.44946107,-0.57950002,0.00000000,13.44949524,0.00003417
2.44000000,13.44366844,-0.57902620,0.00000000,13.44370256,0.00003412
2.45000000,13.43788054,-0.57855248,0.00000000,13.43791461,0.00003407
2.46000000,13.43209739,-0.57807885,0.00000000,13.43213140,0.00003401
2.47000000,13.42631897,-0.57760533,0.00000000,13.42635292,0.00003396
2.48000000,13.42054528,-0.57713190,0.00000000,13.42057918,0.00003390
2.49000000,13.41477633,-0.57665856,0.00000000,13.41481016,0.00003383
2.50000000,13.40901211,-0.57618532,0.00000000,13.40904588,0.00003377
2.51000000,13.40325262,-0.57571218,0.00000000,13.40328632,0.00003370
2.52000000,13.39749787,-0.57523914,0.00000000,13.39753150,0.00003363
2.53000000,13.39174784,-0.57476619,0.00000000,13.39178140,0.00003356
2.54000000,13.38600254,-0.57429334,0.00000000,13.38603603,0.00003349
2.55000000,13.38026197,-0.57382059,0.00000000,13.38029539,0.00003341
2.56000000,13.37452613,-0.57334793,0.00000000,13.37455947,0.00003334
2.57000000,13.36879501,-0.57287537,0.00000000,13.36882827,0.00003326
2.58000000,13.36306862,-0.57240291,0.00000000,13.36310180,0.00003318
